Expression;Human Translation;Google Translate;DeepL;Yandex Translate;Language;Category
I’m emotionally unavailable;я эмоционально закрыт;я эмоционально недоступен;мне сложно открываться;эмоционально недоступен;English;🧠 Психология
Trauma dump;эмоционально выговориться;вывалить травму;слишком резко рассказать о проблемах;травма дамп;English;🧠 Психология
Validation;эмоциональное подтверждение;валидация;поддержка чувств;валидация эмоций;English;🧠 Психология
Emotional dependence;эмоциональная зависимость;эмоциональная зависимость;сильная зависимость от человека;эмоциональная зависимость;English;🧠 Психология
Fear of abandonment;страх быть брошенным;страх покинутости;страх остаться одному;страх быть брошенным;English;🧠 Психология
Emotional detachment;эмоциональная отстраненность;эмоциональное отчуждение;эмоциональная холодность;эмоциональная дистанция;English;🧠 Психология
Low self-worth;низкая самооценка;низкая ценность себя;неуверенность в себе;низкая самооценка;English;🧠 Психология
People exhaustion;усталость от людей;истощение людьми;усталость от общения;усталость от людей;English;🧠 Психология
Touch grass;оторвись от интернета;потрогай траву;выйди на улицу;иди потрогай траву;English;🌍 Интернет сленги
Main character energy;энергия главного героя;энергия главного персонажа;уверенность в себе;главный герой вайб;English;🌍 Интернет сленги
Slay;круто выглядеть / отлично справиться;убивать;быть великолепным;слэй;English;🌍 Интернет сленги
Bet;договорились / хорошо;ставка;хорошо;бет;English;🌍 Интернет сленги
Sus;подозрительный;подозрительный;странный;сус;English;🌍 Интернет сленги
Lowkey;немного / скрытно;низкий ключ;немного;лоуки;English;🌍 Интернет сленги
Highkey;очень сильно / открыто;высокий ключ;очень сильно;хайкей;English;🌍 Интернет сленги
No cap;без шуток / честно;без кепки;честно;ноу кэп;English;🌍 Интернет сленги
Cap;ложь / вранье;кепка;ложь;кэп;English;🌍 Интернет сленги
Mid;средний / скучный;середина;посредственный;мид;English;🌍 Интернет сленги
Cringe;кринж / неловкость;съеживаться;неловко;кринж;English;🌍 Интернет сленги
Flex;хвастаться;сгибать;хвастаться;флексить;English;🌍 Интернет сленги
Based;смелый / настоящий;основанный;уверенный в своем мнении;бейзд;English;🌍 Интернет сленги
Simp;слишком зависимый от симпатии человек;простак;слишком влюбленный человек;симп;English;🌍 Интернет сленги
Stan;преданный фанат;стан;преданный поклонник;стан;English;🌍 Интернет сленги
Triggered;сильно задетый эмоционально;спровоцированный;эмоционально задетый;триггернулся;English;🌍 Интернет сленги
Catch feelings;влюбиться эмоционально;поймать чувства;сильно привязаться;словить чувства;English;🌍 Интернет сленги
Soft launch relationship;намекнуть на отношения в соцсетях;мягкий запуск отношений;неофициально показать отношения;софт лаунч отношений;English;📱 Социалдык тармактар
Hard launch relationship;официально показать отношения;жесткий запуск отношений;официально объявить отношения;хард лаунч отношений;English;📱 Социалдык тармактар
Seen-zoned;проигнорировали после прочтения;зона просмотра;оставили без ответа после прочтения;игнор после просмотра;English;📱 Социалдык тармактар
Ghosting;резко прекратить общение;гостинг;исчезнуть без объяснений;игнор без объяснения;English;📱 Социалдык тармактар
Breadcrumbing;давать ложную надежду в общении;крошки хлеба;поддерживать интерес без серьезности;брэдкрамбинг;English;📱 Социалдык тармактар
Love bombing;чрезмерно заваливать вниманием;бомбардировка любовью;слишком навязчивая любовь;лав бомбинг;English;📱 Социалдык тармактар
Dry texting;сухое общение;сухая переписка;неэмоциональные сообщения;сухие сообщения;English;📱 Социалдык тармактар
Left on read;оставили прочитанным без ответа;оставили на прочитанном;проигнорировали после прочтения;оставили на read;English;📱 Социалдык тармактар
Game changer;то что меняет ситуацию;изменитель игры;важное изменение;гейм чейнджер;English;💼 Бизнес англис тили
Think on your feet;быстро принимать решения;думать на ногах;быстро соображать;думать на ходу;English;💼 Бизнес англис тили
Win-win situation;выгодно всем;выигрыш-выигрыш ситуация;обоюдная выгода;вин вин ситуация;English;💼 Бизнес англис тили
Action plan;план действий;план действий;четкий план;экшн план;English;💼 Бизнес англис тили
Set priorities;расставить приоритеты;установить приоритеты;определить главное;ставить приоритеты;English;💼 Бизнес англис тили
Monthly report;ежемесячный отчет;месячный отчет;ежемесячный отчет;месячный отчет;English;💼 Бизнес англис тили
Task management;управление задачами;управление задачами;организация задач;таск менеджмент;English;💼 Бизнес англис тили
Work remotely;работать удаленно;работать удаленно;работать дистанционно;работать онлайн;English;💼 Бизнес англис тили
Generate revenue;приносить доход;генерировать доход;зарабатывать прибыль;генерировать прибыль;English;💼 Бизнес англис тили
Meeting agenda;план встречи;повестка встречи;темы собрания;повестка митинга;English;💼 Бизнес англис тили
I’m emotionally drained;я морально истощен;я эмоционально осушен;я эмоционально вымотан;эмоционально без сил;English;💔 Эмоционалдык сөздөр
I feel betrayed;я чувствую предательство;я чувствую себя преданным;мне больно из-за предательства;чувствую предательство;English;💔 Эмоционалдык сөздөр
I can’t stop crying;я не могу перестать плакать;я не могу остановить плач;не могу успокоиться;не могу перестать плакать;English;💔 Эмоционалдык сөздөр
I’m trying to heal;я пытаюсь восстановиться;я пытаюсь исцелиться;я пытаюсь прийти в себя;пытаюсь исцелиться;English;💔 Эмоционалдык сөздөр
I feel abandoned;я чувствую себя брошенным;я чувствую себя покинутым;мне кажется меня оставили;чувствую себя брошенным;English;💔 Эмоционалдык сөздөр
I feel emotionally unsafe;я не чувствую эмоциональной безопасности;я чувствую себя эмоционально небезопасно;мне тревожно рядом;эмоционально небезопасно;English;💔 Эмоционалдык сөздөр
I just want to disappear;я хочу исчезнуть;я просто хочу исчезнуть;хочу спрятаться от всего;хочу исчезнуть;English;💔 Эмоционалдык сөздөр
I feel broken inside;внутри мне очень больно;я чувствую себя сломанным внутри;я чувствую пустоту внутри;сломан внутри;English;💔 Эмоционалдык сөздөр
I’m emotionally attached to you;я сильно к тебе привязался;я эмоционально привязан к тебе;я очень к тебе привязался;эмоционально привязан;English;💔 Эмоционалдык сөздөр
I’m scared to lose you;я боюсь тебя потерять;я боюсь потерять тебя;мне страшно тебя потерять;боюсь потерять тебя;English;💔 Эмоционалдык сөздөр
Social burnout;усталость от общения;социальное выгорание;усталость от людей;социальное выгорание;English;🧠 Психология
Emotional overload;эмоциональная перегрузка;эмоциональная перегрузка;слишком много эмоций;эмоциональный overload;English;🧠 Психология
Fear of rejection;страх быть отвергнутым;страх отказа;страх отвержения;страх отказа;English;🧠 Психология
Mood swings;резкие перепады настроения;перепады настроения;смена настроения;скачки настроения;English;🧠 Психология
Emotional numbness;эмоциональное онемение;эмоциональная немота;эмоциональная пустота;эмоциональное онемение;English;🧠 Психология
People drain me;люди меня утомляют;люди истощают меня;я устаю от людей;люди выматывают;English;🧠 Психология
Emotionally sensitive;эмоционально чувствительный;эмоционально чувствительный;очень восприимчивый;чувствительный эмоционально;English;🧠 Психология
I need reassurance;мне нужна поддержка и уверенность;мне нужно заверение;мне важно услышать поддержку;нужно reassurance;English;🧠 Психология
Overstimulated;эмоционально перегружен;чрезмерно стимулирован;слишком перегружен;перестимулирован;English;🧠 Психология
Emotionally unavailable person;эмоционально закрытый человек;эмоционально недоступный человек;человек которому сложно открываться;эмоционально недоступный;English;🧠 Психология
It’s giving anxiety;это вызывает тревогу;это дает тревогу;это тревожит;дает тревогу;English;🌍 Интернет сленги
I’m obsessed;я в восторге / я помешан;я одержим;мне это очень нравится;одержим этим;English;🌍 Интернет сленги
That’s iconic;это легендарно;это культово;это очень круто;это iconic;English;🌍 Интернет сленги
Main slayer energy;энергия главной звезды;энергия главного убийцы;очень уверенная энергия;главный слей вайб;English;🌍 Интернет сленги
You ate that;ты отлично справился;ты это съел;ты сделал это идеально;ты разнес;English;🌍 Интернет сленги
He’s a walking red flag;он сплошной ред флаг;он ходячий красный флаг;с ним одни проблемы;ходячий ред флаг;English;🌍 Интернет сленги
She’s glowing;она сияет / прекрасно выглядит;она светится;она очень похорошела;сияет;English;🌍 Интернет сленги
This ain’t it;это вообще не то;это не это;это плохая идея;это не то;English;🌍 Интернет сленги
Stay delusional;оставайся в своих мечтах;оставайся заблуждающимся;живи своими фантазиями;оставайся delulu;English;🌍 Интернет сленги
I’m literally crying;я буквально плачу;я буквально плачу;мне очень смешно или грустно;буквально плачу;English;🌍 Интернет сленги
Replying in seconds;отвечать мгновенно;отвечать в секундах;отвечать очень быстро;ответ за секунду;English;📱 Социалдык тармактар
Private story;закрытая история;личная история;история для близких друзей;приват сторис;English;📱 Социалдык тармактар
Spam likes;массово лайкать;спам лайки;ставить много лайков подряд;спам лайки;English;📱 Социалдык тармактар
Close friends story;история для близких друзей;история близких друзей;закрытая история;клоз френдс сторис;English;📱 Социалдык тармактар
Soft block;мягко ограничить общение;мягкий блок;аккуратно убрать из подписчиков;софт блок;English;📱 Социалдык тармактар
Online stalking;следить через соцсети;онлайн преследование;постоянно проверять соцсети человека;сталкинг онлайн;English;📱 Социалдык тармактар
Story viewer;просмотрщик историй;зритель истории;тот кто смотрит сторис;просмотрщик сторис;English;📱 Социалдык тармактар
Seen my story instantly;сразу посмотрел мою сторис;увидел мою историю мгновенно;быстро посмотрел сторис;мгновенно увидел сторис;English;📱 Социалдык тармактар
He removed me from close friends;он убрал меня из close friends;он удалил меня из близких друзей;он исключил меня из закрытых историй;убрал из close friends;English;📱 Социалдык тармактар
Story reaction;реакция на сторис;реакция на историю;ответ на сторис;реакция на сторис;English;📱 Социалдык тармактар
AFK farming;получать ресурсы без участия игрока;AFK фарминг;автоматический фарм ресурсов;афк фарм;English;🎮 Оюн сленги
Camping;сидеть в одном месте в игре;кемпинг;ждать игроков в одной точке;кемперство;English;🎮 Оюн сленги
Spawn point;точка появления;точка спавна;место возрождения;спавн точка;English;🎮 Оюн сленги
Grinding;долгое прокачивание;гриндинг;долгая прокачка;гринд;English;🎮 Оюн сленги
Loot drop;выпавшие игровые предметы;дроп лута;выпавшие ресурсы;дроп предметов;English;🎮 Оюн сленги
Ranked match;рейтинговая игра;ранговый матч;соревновательная игра;ранкед матч;English;🎮 Оюн сленги
Skill cooldown;время перезарядки способности;перезарядка навыка;время восстановления навыка;кулдаун способности;English;🎮 Оюн сленги
Rage player;очень агрессивный игрок;яростный игрок;токсичный игрок;рейдж игрок;English;🎮 Оюн сленги
NPC dialogue;диалог NPC;диалог неигрового персонажа;реплики NPC;нпс диалог;English;🎮 Оюн сленги
Level up;повысить уровень;уровень вверх;получить новый уровень;апнуть уровень;English;🎮 Оюн сленги
One step at a time;всему свое время;один шаг за раз;постепенно двигаться вперед;шаг за шагом;English;💔 Эмоционалдык сөздөр
You are enough;ты достаточно хорош;ты достаточен;ты ценен таким какой есть;тебя достаточно;English;💔 Эмоционалдык сөздөр
Take care of yourself;береги себя;заботься о себе;береги себя;позаботься о себе;English;💔 Эмоционалдык сөздөр
I’m proud of you;я горжусь тобой;я горжусь тобой;я тобой горжусь;горжусь тобой;English;💔 Эмоционалдык сөздөр
You deserve better;ты заслуживаешь лучшего;ты заслуживаешь лучше;ты достоин большего;заслуживаешь лучшего;English;💔 Эмоционалдык сөздөр
It still hurts;до сих пор больно;это все еще больно;мне все еще больно;все еще больно;English;💔 Эмоционалдык сөздөр
I’m trying to move on;я пытаюсь отпустить ситуацию;я пытаюсь двигаться дальше;пытаюсь жить дальше;пытаюсь двигаться дальше;English;💔 Эмоционалдык сөздөр
I needed closure;мне нужно было завершение;мне нужно было закрытие;мне важно было поставить точку;нужно было closure;English;💔 Эмоционалдык сөздөр
You deserve peace;ты заслуживаешь спокойствия;ты заслуживаешь мира;ты достоин спокойной жизни;заслуживаешь покоя;English;💔 Эмоционалдык сөздөр
Healing takes time;восстановление требует времени;исцеление требует времени;на восстановление нужно время;исцеление требует времени;English;💔 Эмоционалдык сөздөр
I’m overstimulated;я перегружен эмоциями и шумом;я чрезмерно стимулирован;я слишком перегружен;перестимулирован;English;🧠 Психология
Emotional shutdown;эмоциональное закрытие;эмоциональное отключение;замкнуться эмоционально;эмоциональный shutdown;English;🧠 Психология
Hyperfixation;чрезмерная зацикленность;гиперфиксация;сильная концентрация на чем-то;гиперфиксация;English;🧠 Психология
Avoidant attachment;избегающий тип привязанности;избегающая привязанность;тип привязанности с избеганием;избегающая привязанность;English;🧠 Психология
Emotional validation;подтверждение чувств;эмоциональная валидация;поддержка эмоций;валидация чувств;English;🧠 Психология
People pleasing behavior;желание всем угодить;поведение угождения людям;стремление нравиться всем;угождение людям;English;🧠 Психология
Anxious attachment;тревожный тип привязанности;тревожная привязанность;тип тревожной привязанности;тревожная привязанность;English;🧠 Психология
Emotional masking;скрывать настоящие эмоции;эмоциональная маскировка;скрытие эмоций;маскировка эмоций;English;🧠 Психология
Burnout recovery;восстановление после выгорания;восстановление выгорания;восстановление после эмоционального истощения;рекавери после burnout;English;🧠 Психология
Trauma bond;болезненная эмоциональная привязанность;травматическая связь;токсичная эмоциональная связь;травма связь;English;🧠 Психология
He passed the vibe check;он подошел по вайбу;он прошел проверку вибраций;с ним комфортно;прошел vibe check;English;🌍 Интернет сленги
This is so unserious;это невозможно воспринимать серьезно;это так несерьезно;это какой-то абсурд;это несерьезно;English;🌍 Интернет сленги
I’m screaming;это очень смешно / шокирует;я кричу;меня это сильно удивило;я ору;English;🌍 Интернет сленги
That’s so real;это очень жизненно;это так реально;это правда жизни;это реально жизненно;English;🌍 Интернет сленги
It’s giving main character;ощущение главного героя;это дает главного героя;вайб главного героя;дает main character;English;🌍 Интернет сленги
He’s lowkey cute;он немного милый;он низко ключевой милый;он довольно милый;лоуки милый;English;🌍 Интернет сленги
That fit goes hard;этот образ очень крутой;этот наряд идет жестко;образ выглядит круто;лук жесткий;English;🌍 Интернет сленги
No because literally;ну потому что реально;нет потому что буквально;это буквально правда;реально же;English;🌍 Интернет сленги
I’m obsessed with this;я в восторге от этого;я одержим этим;мне это очень нравится;одержим этим;English;🌍 Интернет сленги
This healed something in me;это будто что-то во мне исцелило;это исцелило что-то во мне;мне стало легче от этого;это меня исцелило;English;🌍 Интернет сленги
Story spam;много сторис подряд;спам историями;слишком много сторис;спам сторис;English;📱 Социалдык тармактар
Instagram dump;подборка случайных фото;дамп инстаграма;хаотичная подборка фото;инста дамп;English;📱 Социалдык тармактар
Aesthetic account;эстетичный аккаунт;эстетический аккаунт;красиво оформленный профиль;эстетик аккаунт;English;📱 Социалдык тармактар
Follower count;количество подписчиков;счетчик подписчиков;число подписчиков;количество фолловеров;English;📱 Социалдык тармактар
Verified badge;галочка верификации;подтвержденный значок;официальная галочка;верифицированный значок;English;📱 Социалдык тармактар
Shadowban;теневой бан;теневой запрет;скрытое ограничение аккаунта;теневой бан;English;📱 Социалдык тармактар
Content creator;создатель контента;создатель содержимого;автор контента;контент мейкер;English;📱 Социалдык тармактар
Explore page;страница рекомендаций;страница исследования;лента рекомендаций;страница explore;English;📱 Социалдык тармактар
Viral trend;вирусный тренд;вирусный тренд;популярный интернет-тренд;вирусный тренд;English;📱 Социалдык тармактар
Online mutual;интернет-знакомый с взаимной подпиской;онлайн взаимный;взаимный подписчик;онлайн mutual;English;📱 Социалдык тармактар
Loot box;игровой набор со случайными предметами;коробка добычи;случайный игровой набор;лутбокс;English;🎮 Оюн сленги
Open world game;игра с открытым миром;игра открытого мира;игра где можно свободно исследовать мир;открытый мир;English;🎮 Оюн сленги
Boss fight;битва с главным врагом;бой с боссом;сражение с боссом;босс файт;English;🎮 Оюн сленги
Character build;развитие персонажа;сборка персонажа;характеристики персонажа;билд персонажа;English;🎮 Оюн сленги
Damage dealer;персонаж наносящий основной урон;дилер урона;атакующий персонаж;дамаг дилер;English;🎮 Оюн сленги
Healing support;персонаж поддержки и лечения;исцеляющая поддержка;лечащий персонаж;хил саппорт;English;🎮 Оюн сленги
Critical hit;критический удар;критический удар;мощный удар;крит удар;English;🎮 Оюн сленги
Respawn;возродиться после смерти в игре;респавн;появиться заново после смерти;возрождение;English;🎮 Оюн сленги
Speedrun;быстрое прохождение игры;скоростной забег;прохождение на скорость;спидран;English;🎮 Оюн сленги
Game lag;задержка в игре;игровой лаг;подвисание игры;лаги в игре;English;🎮 Оюн сленги
Өзөгү өрттөндү;очень сильно переживал;сердцевина сгорела;очень страдал внутри;внутри все сгорело;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көзү төрт болду;очень сильно ждал;глаза стали четырьмя;с нетерпением ждал;глаза в ожидании;Kyrgyz;🗣 Кыргыз сөз айкаштары
Жүрөгү жарыла жаздады;чуть сердце не разорвалось от эмоций;сердце чуть не лопнуло;очень сильно переживал;сердце чуть не разорвалось;Kyrgyz;🗣 Кыргыз сөз айкаштары
Ичи туз куйгандай ачышты;было очень больно на душе;внутри будто соль насыпали;душа сильно болела;словно соль на рану;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көңүлү көкөлөдү;очень обрадовался;настроение взлетело;душа радовалась;настроение поднялось;Kyrgyz;🗣 Кыргыз сөз айкаштары
Башы айланды;растерялся / закружилась голова;голова закружилась;растерялся;голова кружится;Kyrgyz;🗣 Кыргыз сөз айкаштары
Жүрөгүнө жакын алды;принял близко к сердцу;взял близко к сердцу;сильно переживал;близко принял;Kyrgyz;🗣 Кыргыз сөз айкаштары
Колу ачык;щедрый человек;рука открытая;щедрый человек;открытая рука;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көңүлү ток;спокойный и довольный человек;душа сытая;доволен жизнью;душа спокойна;Kyrgyz;🗣 Кыргыз сөз айкаштары
Сөзү өттү;его слова имели вес;его слово прошло;к нему прислушались;слово прошло;Kyrgyz;🗣 Кыргыз сөз айкаштары
Keep your chin up;не унывай;держи подбородок вверх;не падай духом;держи голову выше;English;💔 Эмоционалдык сөздөр
You’re doing great;ты отлично справляешься;ты делаешь отлично;у тебя хорошо получается;ты молодец;English;💔 Эмоционалдык сөздөр
I’m here for you;я рядом с тобой;я здесь для тебя;я поддержу тебя;я здесь ради тебя;English;💔 Эмоционалдык сөздөр
Take your time;не торопись;возьми свое время;делай спокойно;не спеши;English;💔 Эмоционалдык сөздөр
It’s okay to cry;плакать нормально;это нормально плакать;можно поплакать;нормально плакать;English;💔 Эмоционалдык сөздөр
I feel emotionally exhausted;я эмоционально истощен;я эмоционально измотан;я морально без сил;эмоционально устал;English;💔 Эмоционалдык сөздөр
I can’t explain this feeling;я не могу объяснить это чувство;я не могу объяснить это ощущение;мне сложно описать это чувство;не могу объяснить чувства;English;💔 Эмоционалдык сөздөр
I need peace of mind;мне нужно душевное спокойствие;мне нужен мир разума;мне нужен внутренний покой;нужен покой;English;💔 Эмоционалдык сөздөр
I feel emotionally disconnected;я чувствую эмоциональную отдаленность;я чувствую себя эмоционально отключенным;я чувствую холод внутри;эмоционально отключен;English;💔 Эмоционалдык сөздөр
You matter;ты важен;ты имеешь значение;ты очень важен;ты значим;English;💔 Эмоционалдык сөздөр
Emotional resilience;эмоциональная устойчивость;эмоциональная стойкость;умение справляться с трудностями;эмоциональная устойчивость;English;🧠 Психология
Emotional trauma;эмоциональная травма;эмоциональная травма;психологическая травма;эмоциональная травма;English;🧠 Психология
Social withdrawal;социальная замкнутость;социальное отстранение;желание избегать людей;социальное отдаление;English;🧠 Психология
Stress response;реакция на стресс;стрессовый ответ;реакция организма на стресс;реакция на стресс;English;🧠 Психология
Overattachment;чрезмерная привязанность;сверхпривязанность;слишком сильная зависимость;сильная привязанность;English;🧠 Психология
Emotional coping;эмоциональное преодоление трудностей;эмоциональное совладание;способ справляться с эмоциями;копинг эмоций;English;🧠 Психология
Emotional healing;эмоциональное восстановление;эмоциональное исцеление;восстановление после переживаний;эмоциональное исцеление;English;🧠 Психология
Self-reflection;самоанализ;самоотражение;анализ своих мыслей и чувств;саморефлексия;English;🧠 Психология
Inner peace;внутренний покой;внутренний мир;душевное спокойствие;внутренний покой;English;🧠 Психология
Emotional support system;круг эмоциональной поддержки;система эмоциональной поддержки;люди которые поддерживают;эмоциональная поддержка система;English;🧠 Психология
Bro thinks he’s him;он слишком уверен в себе;бро думает что он тот самый;он слишком высокого мнения о себе;думает что он главный;English;🌍 Интернет сленги
Caught lacking;застали врасплох;пойман без защиты;застали неподготовленным;поймали врасплох;English;🌍 Интернет сленги
This slaps;это очень круто;это шлепает;это реально классно;это разносит;English;🌍 Интернет сленги
Bro is wilding;он ведет себя безумно;бро дичает;он творит странные вещи;бро сходит с ума;English;🌍 Интернет сленги
Big yikes;очень неловко;большой ой;очень стыдная ситуация;жесткий кринж;English;🌍 Интернет сленги
It’s not giving;это не производит впечатления;это не дает;это совсем не то;не дает вайба;English;🌍 Интернет сленги
He fell off;он потерял популярность;он упал;он уже не так хорош;скатился;English;🌍 Интернет сленги
I’m deceased;я умираю от смеха;я умер;мне очень смешно;я мертв от смеха;English;🌍 Интернет сленги
She’s serving looks;она выглядит потрясающе;она подает образы;она очень стильная;подает вайб;English;🌍 Интернет сленги
He’s so unserious;его невозможно воспринимать серьезно;он такой несерьезный;он очень странный и смешной;несерьезный человек;English;🌍 Интернет сленги
Spam posting;выкладывать слишком много постов;спам публикация;слишком часто публиковать;спам постинг;English;📱 Социалдык тармактар
Profile aesthetic;стиль профиля;эстетика профиля;визуальный стиль аккаунта;эстетика профиля;English;📱 Социалдык тармактар
DM request;запрос в личные сообщения;запрос DM;запрос на переписку;запрос в директ;English;📱 Социалдык тармактар
Story repost;репост сторис;повторная публикация истории;поделиться сторис;репост истории;English;📱 Социалдык тармактар
Follower ratio;соотношение подписчиков и подписок;соотношение фолловеров;баланс подписчиков;ratio подписчиков;English;📱 Социалдык тармактар
Online presence;активность в интернете;онлайн присутствие;публичность в соцсетях;присутствие онлайн;English;📱 Социалдык тармактар
Social media break;перерыв от соцсетей;перерыв социальных медиа;отдых от соцсетей;перерыв от интернета;English;📱 Социалдык тармактар
Comment farming;собирать комментарии ради активности;ферма комментариев;провоцировать комментарии;фарм комментариев;English;📱 Социалдык тармактар
Mutual interaction;взаимная активность;взаимодействие mutual;активность между подписчиками;взаимная активность;English;📱 Социалдык тармактар
Trend hopping;постоянно следовать трендам;прыжки по трендам;повторять популярные тренды;хоппинг трендов;English;📱 Социалдык тармактар
Game mechanics;механика игры;механика игры;игровые правила и системы;механики игры;English;🎮 Оюн сленги
Voice chat;голосовой чат;голосовой чат;разговор в игре голосом;войс чат;English;🎮 Оюн сленги
Health bar;шкала здоровья;полоса здоровья;индикатор здоровья;хп бар;English;🎮 Оюн сленги
Battle pass;боевой пропуск;боевой пропуск;система наград в игре;батл пасс;English;🎮 Оюн сленги
Co-op mode;совместный режим игры;кооперативный режим;игра вместе с другими;кооп режим;English;🎮 Оюн сленги
Ping issue;проблема с соединением;проблема пинга;задержка интернета в игре;высокий пинг;English;🎮 Оюн сленги
Enemy spotted;враг замечен;враг обнаружен;заметили противника;враг рядом;English;🎮 Оюн сленги
Rank push;поднимать рейтинг;толчок ранга;повышать игровой ранг;апать ранг;English;🎮 Оюн сленги
Team wipe;полностью победить команду противника;уничтожение команды;полное уничтожение команды;вайп команды;English;🎮 Оюн сленги
Friendly fire;урон своим союзникам;дружественный огонь;случайно атаковать союзников;урон по своим;English;🎮 Оюн сленги
Ичи жылыды;стало приятно на душе;внутри согрелось;стало тепло на душе;душа согрелась;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көзү ачылды;понял правду;глаза открылись;осознал ситуацию;открыл глаза;Kyrgyz;🗣 Кыргыз сөз айкаштары
Оюна келди;вдруг вспомнил / пришла идея;пришло в мысль;вдруг вспомнил;пришло в голову;Kyrgyz;🗣 Кыргыз сөз айкаштары
Жаны кашайды;очень сильно переживал;душа чесалась;душа болела;внутри мучился;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көңүлү тынды;успокоился;душа успокоилась;стало спокойно;душа успокоилась;Kyrgyz;🗣 Кыргыз сөз айкаштары
Сөзгө келди;начал спорить;пришел к слову;начал ругаться словами;вступил в спор;Kyrgyz;🗣 Кыргыз сөз айкаштары
Баш көтөрбөй иштеди;работал без отдыха;работал не поднимая головы;очень много работал;работал без остановки;Kyrgyz;🗣 Кыргыз сөз айкаштары
Көзүн карады;зависел от чужого решения;смотрел в глаза;ждал реакции другого человека;смотрел в глаза;Kyrgyz;🗣 Кыргыз сөз айкаштары
Колу бош эмес;очень занят;руки не пустые;нет свободного времени;руки заняты;Kyrgyz;🗣 Кыргыз сөз айкаштары
Тили узун;слишком много говорит;язык длинный;болтливый человек;длинный язык;Kyrgyz;🗣 Кыргыз сөз айкаштары
Бакыт акчада эмес;счастье не в деньгах;счастье не в деньгах;главное не деньги а счастье;счастье не деньги;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Ырыс алды ынтымак;согласие приносит благополучие;перед счастьем согласие;единство приносит счастье;согласие начало достатка;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жигит сөзүнөн кайтпайт;настоящий человек держит слово;мужчина не отказывается от слов;человек должен отвечать за слова;не отказывается от слов;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Карысы бар үйдүн ырысы бар;где есть старшие там есть благословение;у дома со стариком есть счастье;старшие приносят мудрость и счастье;дом со старшим счастлив;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Эмгек кылсаң эминбей тоюңарсың тегиндей;если трудиться будет достаток;если трудиться будешь есть бесплатно;труд приносит результат;труд даст достаток;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жакшы сөз жарым ырыс;доброе слово половина счастья;хорошее слово половина счастья;добрые слова очень важны;доброе слово половина достатка;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Эл үчүн кызмат кыл;служи народу;служи для народа;делай добро людям;служи людям;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Ойлонуп сүйлө;думай прежде чем говорить;говори подумав;сначала подумай потом говори;говори обдуманно;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Адамдын көркү адеп;человека украшает воспитание;красота человека воспитание;главное в человеке воспитанность;человека украшает характер;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Биримдик бар жерде күч бар;где есть единство там сила;где есть единство есть сила;вместе люди сильнее;единство это сила;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жакшы дос жаман күндө билинет;настоящий друг познается в беде;хороший друг узнается в плохой день;друг познается в трудностях;друг узнается в беде;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Билим эмгек менен келет;знания приходят через труд;знание приходит с трудом;для знаний нужен труд;знание приходит через труд;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Тил адамдын күзгүсү;язык отражает человека;язык зеркало человека;по речи виден человек;язык зеркало души;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Адамга адам керек;человеку нужен человек;человеку нужен человек;людям нужна поддержка друг друга;человек нужен человеку;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
Жакшы жүрсөң өзүңө пайда;если вести себя хорошо будет польза тебе;если хорошо ходишь польза тебе;хорошие поступки полезны самому человеку;хорошее поведение полезно;Kyrgyz;🇰🇬 Кыргыз макал-лакаптары
No hard feelings;без обид;никаких тяжелых чувств;без обид;не держи зла;English;💔 Эмоционалдык сөздөр
I needed that;мне это было нужно;мне это было необходимо;мне стало легче от этого;мне это нужно было;English;💔 Эмоционалдык сөздөр
I feel seen;я чувствую что меня понимают;я чувствую себя увиденным;меня понимают;я чувствую понимание;English;💔 Эмоционалдык сөздөр
I’m healing slowly;я постепенно восстанавливаюсь;я медленно исцеляюсь;я постепенно прихожу в себя;медленно восстанавливаюсь;English;💔 Эмоционалдык сөздөр
You made my day;ты сделал мой день лучше;ты сделал мой день;ты очень порадовал меня;сделал мой день;English;💔 Эмоционалдык сөздөр
I needed comfort;мне нужна была поддержка;мне нужен был комфорт;мне хотелось тепла и поддержки;нужен был комфорт;English;💔 Эмоционалдык сөздөр
I feel emotionally safe;я чувствую себя спокойно рядом;я чувствую себя эмоционально безопасно;мне комфортно рядом;эмоционально безопасно;English;💔 Эмоционалдык сөздөр
